cooling_min,cv,x_mm,dx_mm,layer,material,node,capacity_J_m2K,k_W_mK,temperature_C
70.0,38,12.27045,0.0375,cell1_cGDL,cGDL,T1_C,3.7809375,0.3,-28.158132294427013
70.0,39,12.30795,0.0375,cell1_cGDL,cGDL,T1_C,3.7809375,0.3,-28.156979224822024
70.0,40,12.493366666666665,0.3333333333333333,BP1,BP,T1_C,505.56,95.0,-28.156386869647058
70.0,41,12.826699999999999,0.3333333333333333,BP1,BP,T1_C,505.56,95.0,-28.15635717442795
70.0,42,13.160033333333331,0.3333333333333333,BP1,BP,T1_C,505.56,95.0,-28.15633013107272
70.0,43,13.493366666666665,0.3333333333333333,BP1,BP,T2_C,505.56,95.0,-28.15630573962027
70.0,44,13.826699999999997,0.3333333333333333,BP1,BP,T2_C,505.56,95.0,-28.156284000105675
70.0,45,14.160033333333331,0.3333333333333333,BP1,BP,T2_C,505.56,95.0,-28.15626491256021
70.0,46,14.345449999999998,0.0375,cell2_aGDL,aGDL,T2_C,3.7809375,0.3,-28.15596393657138
70.0,47,14.382949999999997,0.0375,cell2_aGDL,aGDL,T2_C,3.7809375,0.3,-28.15537912682701
70.0,48,14.420449999999995,0.0375,cell2_aGDL,aGDL,T2_C,3.7809375,0.3,-28.154795023991177
70.0,49,14.457949999999995,0.0375,cell2_aGDL,aGDL,T2_C,3.7809375,0.3,-28.154211628287722
70.0,50,14.477549999999995,0.0017000000000000001,cell2_aCL,aCL,T2_C,0.39576,0.27,-28.15390560900003
70.0,51,14.479249999999995,0.0017000000000000001,cell2_aCL,aCL,T2_C,0.39576,0.27,-28.15387626250223
70.0,52,14.483099999999997,0.006,cell2_PEM,PEM,T2_C,13.545,0.24,-28.153803337094356
70.0,53,14.489099999999997,0.006,cell2_PEM,PEM,T2_C,13.545,0.24,-28.153687335971117
70.0,54,14.494924999999997,0.0056500000000000005,cell2_cCL,cCL,T2_C,1.31532,0.27,-28.15358125244036
70.0,55,14.500574999999996,0.0056500000000000005,cell2_cCL,cCL,T2_C,1.31532,0.27,-28.153484620754476
