model,condition,parameter,multiplier,kind,t_s,V_model_V,T_model_C,ice_max_bulk,ice_pore_max_bulk,ice_mem_max_bulk,water_ice_kg_m2,model_valid,ever_invalid
bp,minus20,all_phase_rates,10.0,common_phase_timescale,14.8,0.5590525833970429,-18.52526304149376,0.06425220566652654,0.04585210568391033,0.06425220566652654,0.0007477208048148,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,15.0,0.5580963233523893,-18.4670666024044,0.06687063965601549,0.047521039192266835,0.06687063965601549,0.0007815381826951555,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,15.2,0.5575873696371851,-18.40890366806576,0.06948480985472671,0.04919374016871944,0.06948480985472671,0.0008156347436222356,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,15.4,0.5575236591221993,-18.351152748054403,0.0720917306094452,0.05086904013810351,0.0720917306094452,0.000849968344528012,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,15.6,0.557007488462196,-18.29358988303261,0.07468778226354716,0.052545145180115084,0.07468778226354716,0.0008844821422285546,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,15.8,0.5560410215505878,-18.23583869304653,0.07727600865855576,0.054221865918912295,0.07727600865855576,0.0009191498990592687,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,16.0,0.5555213635012113,-18.17812486244256,0.07986034587040904,0.05589992117546896,0.07986034587040904,0.0009539702323516959,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,16.2,0.554549721909595,-18.120266818878292,0.08244135103826968,0.05757926134516175,0.08244135103826968,0.0009889312385069043,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,16.4,0.554471137283028,-18.062726237826837,0.08501954581375562,0.05925990424775771,0.08501954581375562,0.0010240241053236618,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,16.6,0.5543887889141893,-18.005677379551855,0.08758873349094667,0.06094017298527618,0.08758873349094667,0.0010592070403183669,1,0
bp,minus20,all_phase_rates,10.0,common_phase_timescale,16.8,0.5534079523897552,-17.94851735041351,0.09014830514988732,0.06261907585796934,0.09014830514988732,0.0010944453145292736,1,0
